# simTime drag lift presDiff dispAx dispAy aleNorm aleTime flowTime beamTime couplingIter flowIter beamIter omega resAbs resRel
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
0.01 0.168299 -0.00137701 3.60558 -1.40236e-07 -1.98246e-10 2.15962e-08 1.51562 7.5388 1.15381 4 2 3 0.946473 5.46084e-11 0.000871584
0.02 0.270047 -0.000859563 5.57673 -3.84283e-07 -7.22793e-10 5.81998e-08 3.41067 21.3256 2.77088 5 3 3 0.609536 4.54116e-11 0.00144815
0.03 0.713853 -0.00377463 14.8065 -9.38987e-07 -2.00091e-09 1.44362e-07 4.92728 32.372 4.04139 4 3 3 0.946712 9.04698e-11 0.000571855
0.04 1.11171 -0.00448365 22.5108 -1.79491e-06 -4.63353e-09 2.76454e-07 6.8239 46.169 5.77405 5 3 3 0.617966 7.51541e-11 0.000617742
0.05 1.5335 -0.00476145 30.442 -2.78167e-06 -9.29602e-09 4.33073e-07 8.71929 59.9382 7.50546 5 3 3 0.615338 9.43807e-11 0.0007504
0.06 1.97221 -0.00692951 38.3376 -3.82901e-06 -1.687e-08 6.00476e-07 10.615 73.7264 9.23621 5 3 3 0.855598 1.60334e-11 0.000138867
0.07 2.42826 -0.00836359 46.3596 -4.80555e-06 -2.84175e-08 7.56539e-07 12.5107 87.5199 10.9667 5 3 3 0.648397 4.56745e-11 0.000399096
0.08 2.90019 -0.00966425 54.4627 -5.62773e-06 -4.50865e-08 8.85911e-07 14.4064 101.286 12.6972 5 3 3 0.641841 5.09997e-11 0.000457479
0.09 3.38785 -0.0111321 62.6694 -6.21686e-06 -6.77989e-08 9.76192e-07 16.303 115.051 14.4281 5 3 3 0.658524 4.40559e-11 0.000402634
0.1 3.89086 -0.012816 70.9731 -6.57889e-06 -9.75161e-08 1.02861e-06 18.1992 128.857 16.1588 5 3 3 0.698173 3.5146e-11 0.00032952
0.11 4.40886 -0.0143386 79.3748 -6.76072e-06 -1.3528e-07 1.05145e-06 20.0946 142.649 17.8893 5 3 3 0.677037 4.01929e-11 0.000386746
0.12 4.94113 -0.0158994 87.8649 -6.85107e-06 -1.82306e-07 1.05977e-06 21.9907 156.409 19.6197 5 3 3 0.689731 3.7711e-11 0.000372177
0.13 5.4867 -0.0175407 96.4314 -6.92683e-06 -2.40043e-07 1.06663e-06 23.8866 170.177 21.3507 5 3 3 0.714901 3.34733e-11 0.000337773
0.14 6.04452 -0.0192135 105.062 -7.05181e-06 -3.10228e-07 1.08279e-06 25.783 183.961 23.0807 5 3 3 0.732727 3.08585e-11 0.000317329
0.15 6.61349 -0.0208946 113.744 -7.24962e-06 -3.94885e-07 1.112e-06 27.6779 197.755 24.812 5 3 3 0.745739 2.89002e-11 0.000301976
0.16 7.19274 -0.0226237 122.472 -7.51471e-06 -4.96324e-07 1.15344e-06 29.5731 211.534 26.543 5 3 3 0.779431 2.50055e-11 0.000264898
0.17 7.78158 -0.0243947 131.239 -7.80911e-06 -6.1714e-07 1.20089e-06 31.4693 225.297 28.2742 5 3 3 0.822274 2.04479e-11 0.00021937
0.18 8.37962 -0.0261852 140.045 -8.08655e-06 -7.60186e-07 1.24739e-06 33.3663 239.075 30.0056 5 3 3 0.863389 1.56278e-11 0.000169755
0.19 8.98665 -0.0280128 148.89 -8.30015e-06 -9.28541e-07 1.28577e-06 34.8839 250.089 31.3905 4 3 3 0.942978 9.94649e-11 0.00109456
0.2 9.60259 -0.0298484 157.777 -8.42168e-06 -1.12549e-06 1.31262e-06 36.4022 261.106 32.7755 4 3 3 0.942813 9.30072e-11 0.00103756
0.21 10.2274 -0.0316421 166.706 -8.44121e-06 -1.35451e-06 1.32741e-06 37.9192 272.126 34.1605 4 3 3 0.94261 8.83377e-11 0.000999482
0.22 10.8609 -0.0334476 175.676 -8.37151e-06 -1.6192e-06 1.33392e-06 39.4373 283.143 35.5469 4 3 3 0.942302 9.10631e-11 0.00104478
0.23 11.5029 -0.0353214 184.684 -8.23695e-06 -1.9233e-06 1.33746e-06 41.3341 296.943 37.2796 5 3 3 0.693369 2.29559e-11 0.000266892
0.24 12.1529 -0.0372621 193.727 -8.0686e-06 -2.27065e-06 1.34464e-06 43.2305 310.72 39.0101 5 3 3 0.640758 3.03545e-11 0.000357188
0.25 12.8106 -0.0391325 202.798 -7.89139e-06 -2.66523e-06 1.36039e-06 45.1272 324.532 40.7404 5 3 3 0.626563 3.37469e-11 0.0004014
0.26 13.4755 -0.0409528 211.893 -7.72135e-06 -3.11108e-06 1.38838e-06 47.0234 338.323 42.4715 5 3 3 0.617209 3.9238e-11 0.000471121
0.27 14.1471 -0.0428355 221.007 -7.56012e-06 -3.61229e-06 1.42963e-06 48.9206 352.114 44.2021 5 3 3 0.611239 5.09257e-11 0.00061658
0.28 14.825 -0.0447004 230.139 -7.39937e-06 -4.17297e-06 1.48436e-06 50.8176 365.894 45.9327 5 3 3 0.609257 6.0605e-11 0.000739295
0.29 15.509 -0.046529 239.285 -7.22276e-06 -4.79726e-06 1.55172e-06 52.7145 379.687 47.6641 5 3 3 0.608461 7.08579e-11 0.000870393
0.3 16.1988 -0.0483331 248.446 -7.01384e-06 -5.48926e-06 1.63169e-06 54.6121 393.44 49.3951 5 3 3 0.608191 8.3003e-11 0.00102615
