point0-x,point0-y,time,
0.000211296,-1.48915e-06,0.01,
0.000915486,3.02678e-05,0.02,
0.00200038,0.000102051,0.03,
0.00319935,0.000175044,0.04,
0.00427781,0.000238988,0.05,
0.00523921,0.000274841,0.06,
0.00662298,0.000265894,0.07,
0.00882229,0.000193338,0.08,
0.0115658,6.62383e-05,0.09,
0.0145895,-7.30851e-05,0.1,
0.0180311,-0.000193341,0.11,
0.0217914,-0.000276792,0.12,
0.0254043,-0.000343608,0.13,
0.0287001,-0.000379117,0.14,
0.0319048,-0.000379013,0.15,
0.0352847,-0.000430829,0.16,
0.0390484,-0.000595929,0.17,
0.0431471,-0.00087053,0.18,
0.047253,-0.00119892,0.19,
0.0512375,-0.0015576,0.2,
0.055201,-0.00192648,0.21,
0.0588791,-0.0022198,0.22,
0.0618988,-0.00238726,0.23,
0.0645695,-0.0024507,0.24,
0.0674911,-0.00253432,0.25,
0.0707517,-0.00269773,0.26,
0.074164,-0.00291806,0.27,
0.0777089,-0.00320814,0.28,
0.0813425,-0.00358231,0.29,
0.0849212,-0.00401483,0.3,
0.0883485,-0.00440896,0.31,
0.0915178,-0.00472739,0.32,
0.0945201,-0.00502292,0.33,
0.0978789,-0.00536466,0.34,
0.101913,-0.00579155,0.35,
0.106283,-0.00627445,0.36,
0.110671,-0.0068162,0.37,
0.11518,-0.00747017,0.38,
0.119697,-0.00817929,0.39,
0.123791,-0.00882399,0.4,
0.127381,-0.00939246,0.41,
0.130772,-0.00999244,0.42,
0.134234,-0.0106542,0.43,
0.137904,-0.0113371,0.44,
0.141695,-0.0120339,0.45,
0.14528,-0.0126964,0.46,
0.148505,-0.0132987,0.47,
0.151469,-0.013779,0.48,
0.153987,-0.014071,0.49,
0.155781,-0.014224,0.5,
0.157195,-0.0143989,0.51,
0.158795,-0.014694,0.52,
0.160628,-0.0150386,0.53,
0.162458,-0.0154233,0.54,
0.164252,-0.0158467,0.55,
0.165966,-0.0162048,0.56,
0.167476,-0.0163984,0.57,
0.168765,-0.016435,0.58,
0.169815,-0.0164435,0.59,
0.170704,-0.0165429,0.6,
0.171842,-0.0167902,0.61,
0.173459,-0.0171989,0.62,
0.175176,-0.0177413,0.63,
0.17663,-0.0183438,0.64,
0.177933,-0.0188557,0.65,
0.179087,-0.0191545,0.66,
0.17981,-0.0192484,0.67,
0.180115,-0.0192303,0.68,
0.180281,-0.0192137,0.69,
0.180479,-0.019228,0.7,
0.18073,-0.0193136,0.71,
0.180874,-0.0194857,0.72,
0.18054,-0.0196138,0.73,
0.179602,-0.0195392,0.74,
0.178322,-0.0192069,0.75,
0.176718,-0.018717,0.76,
0.174636,-0.0181184,0.77,
0.172389,-0.0174724,0.78,
0.170462,-0.0168932,0.79,
0.168801,-0.016426,0.8,
0.167029,-0.0160622,0.81,
0.165011,-0.01571,0.82,
0.162719,-0.0152844,0.83,
0.16018,-0.0147733,0.84,
0.157543,-0.0142564,0.85,
0.154885,-0.0137866,0.86,
0.152283,-0.0133302,0.87,
0.150075,-0.0129374,0.88,
0.148407,-0.0126797,0.89,
0.146774,-0.012472,0.9,
0.144707,-0.0121868,0.91,
0.142331,-0.0117977,0.92,
0.13978,-0.0113684,0.93,
0.136893,-0.0109233,0.94,
0.133719,-0.0104759,0.95,
0.130564,-0.0100673,0.96,
0.127593,-0.00969472,0.97,
0.124757,-0.0093769,0.98,
0.121829,-0.00900815,0.99,
0.118417,-0.00847186,1,
0.114449,-0.00779049,1.01,
0.110266,-0.00705707,1.02,
0.105971,-0.00635416,1.03,
0.101419,-0.00568387,1.04,
0.0969013,-0.00513859,1.05,
0.0928878,-0.00475386,1.06,
0.0892584,-0.0044731,1.07,
0.08558,-0.00420153,1.08,
0.0817316,-0.00385134,1.09,
0.0777887,-0.00344868,1.1,
0.0738374,-0.00301942,1.11,
0.070035,-0.00257967,1.12,
0.0664456,-0.00218263,1.13,
0.0631011,-0.00189721,1.14,
0.0602497,-0.00175464,1.15,
0.0579455,-0.0017054,1.16,
0.0556504,-0.00168554,1.17,
0.0529383,-0.00164951,1.18,
0.0500314,-0.00155309,1.19,
0.0471509,-0.00140898,1.2,
0.0441633,-0.00117962,1.21,
0.0411084,-0.000914645,1.22,
0.0382685,-0.000703247,1.23,
0.0357345,-0.000548591,1.24,
0.0333644,-0.000446356,1.25,
0.0309027,-0.000370139,1.26,
0.0280284,-0.00035531,1.27,
0.0247618,-0.000340772,1.28,
0.0215108,-0.000292583,1.29,
0.0184236,-0.000222104,1.3,
0.0153734,-0.000122138,1.31,
0.0126116,-3.18984e-05,1.32,
0.0105326,7.34784e-05,1.33,
0.00893143,0.000182588,1.34,
0.0073314,0.000242468,1.35,
0.00564161,0.000220313,1.36,
0.00400013,0.000144815,1.37,
0.00251346,7.94515e-05,1.38,
0.00133319,1.07804e-05,1.39,
0.000528374,-6.1896e-05,1.4,
0.000100512,-7.19889e-05,1.41,
0.000209374,-1.42793e-05,1.42,
0.00083901,9.25335e-05,1.43,
0.00144338,0.000175568,1.44,
0.00163059,0.000217178,1.45,
0.00166697,0.000241665,1.46,
0.00181191,0.000223693,1.47,
0.00193917,0.000162543,1.48,
0.00208192,3.60426e-05,1.49,
0.00252151,-5.17583e-05,1.5,
0.00330448,-7.12667e-05,1.51,
0.00423112,-6.40147e-05,1.52,
0.00504797,-1.74226e-05,1.53,
0.00550667,5.89719e-05,1.54,
0.00567635,0.000175379,1.55,
0.0059737,0.00025301,1.56,
0.0065515,0.000248229,1.57,
0.00727286,0.000177489,1.58,
0.00834434,8.02373e-05,1.59,
0.010101,-4.75049e-07,1.6,
0.0122819,-0.000102544,1.61,
0.0143914,-0.000187448,1.62,
0.0163772,-0.000182905,1.63,
0.0184328,-0.000125346,1.64,
0.020664,-6.74004e-05,1.65,
0.0231867,-6.30249e-05,1.66,
0.0260535,-0.000105987,1.67,
0.0292326,-0.000203227,1.68,
0.0328094,-0.000401488,1.69,
0.03671,-0.000681458,1.7,
0.0404058,-0.00099,1.71,
0.0435669,-0.00119931,1.72,
0.0465167,-0.00134615,1.73,
0.0495418,-0.00149612,1.74,
0.0525125,-0.00160734,1.75,
0.0554391,-0.00170858,1.76,
0.0585862,-0.00184157,1.77,
0.0619511,-0.00207994,1.78,
0.0652803,-0.00237449,1.79,
0.0683377,-0.00264945,1.8,
0.0709619,-0.0028806,1.81,
0.0732851,-0.00307041,1.82,
0.0757244,-0.00328817,1.83,
0.0784297,-0.00348726,1.84,
0.0812519,-0.00365682,1.85,
0.0843449,-0.00389496,1.86,
0.0879732,-0.0042316,1.87,
0.0918174,-0.00461596,1.88,
0.0953798,-0.00497414,1.89,
0.098663,-0.0053451,1.9,
0.101914,-0.00577847,1.91,
0.105237,-0.00624176,1.92,
0.108714,-0.00674284,1.93,
0.112404,-0.00727428,1.94,
0.11624,-0.00788582,1.95,
0.120232,-0.0085539,1.96,
0.124271,-0.00916197,1.97,
0.127879,-0.00966913,1.98,
0.130798,-0.0100744,1.99,
0.133378,-0.0104764,2,
0.135931,-0.0108663,2.01,
0.138324,-0.0112479,2.02,
0.140553,-0.0116911,2.03,
0.142863,-0.0121868,2.04,
0.145214,-0.0126698,2.05,
0.147358,-0.012989,2.06,
0.149124,-0.0131432,2.07,
0.150443,-0.013207,2.08,
0.151461,-0.0132099,2.09,
0.152564,-0.0132314,2.1,
